Entry ID,word,definition,plural form,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,Column1
26,łax,under,,noun,,1,,,,,,
27,lax_'o,top,,noun,,1,,,,,,
,lax_s,nails/claws,,noun,,1,,,,,,
,łgaawk,women's sister,,noun,,1,,,,,,
4,łgutx_a'oo,cousin,,noun,,2,,,,,,
8,łguułk,child (of someone),,noun,,1,,,,,,
98,łgwisgay,pinky,,noun,,2,,,,,,
,liimxy,song,,noun,,1,,,,,,
,łiła'am,foot,,noun,,2,,,,,,
,łmkdii,opposite gender sibling,,noun,,1,,,,,,
,ma'ay,berry,,noun,,1,,,,,,
,malk,bark; dry skin,,noun,,1,,,,,,
,manwo,battleship,,noun,,1,,,,,,
,matxy,mountain goat,,noun,,1,,,,,,
,mo'on,salt,,noun,,1,,,,,,
93,nabiip,uncle,,noun,,1,,,,,,
,nabiip,uncle,,noun,,2,,,,,,
17,naks,spouse,,noun,,1,,,,,,
,nigwaat,father,,noun,,1,,,,,,
3,nagwaat,father,,noun,,1,,,,,,
94,nikdaa,aunt,,noun,,1,,,,,,
,niya'a,grandfather,,noun,,2,,,,,,
,noh,mother,,noun,,1,,,,,,
84,noho,mom,,noun,,1,,noo,,,,
83,noo,mom,,noun,,1,,noho,,,,
100,no'oł,dish,,noun,,1,,,,,,
,no'oł,dish,,noun,,1,,,,,,
,nts'i'its,grandmother,,noun,,1,,,,,,
1,nts'ii'ts,grandmother,,noun,,1,,nts'iidz,,,,
,sah,day,,noun,,1,,,,,,
,tgwa_h,glass,,noun,,1,,,,,,
14,ts'ikts'ik,car,,noun,,1,,,,,,
,ts'ila_'a_,basket,,noun,,1,,,,,,
,ts'ila'a,basket,,noun,,1,,,,,,
99,ts'mmüüx,ear,,noun,,1,,,,,,
,ts'mmüüx,ear,,noun,,1,,,,,,
,t'u'utsk,knife,,noun,,1,,,,,,
90,wa_t'ukw,lingcod,,noun,,1,,,,,,
12,waa,name,,noun,,1,,,,,,
,waalp,house,,noun,,1,,,,,,
,waap,house,,noun,,1,,,,,,
13,waalp,house,,noun,,1,,waap,,,,
,waan,tooth,,noun,,1,,,,,,
92,'waan,teeth,,noun,,1,,,,,,
5,waky,a man's brother,,noun,,1,,,,,,
,wat'ukw,lingcod,,noun,,1,,,,,,
20,wüliilm tgwah,glasses,,noun,,1,,,,,,
15,x_aldaawx_k,medicine,,noun,,2,,,,,,
,yaxw,boy,,noun,,1,,,,,,
86,'yaxwt,man,,noun,,1,,,,,,
,yeni,marten,,noun,,1,,,,,,
25,ał ,at,,prenoun,,,,ei,,actually this is a preposition a+ł,,
82,ei,at,,prenoun,,,,ał ,,actually this is a preposition a+i,,
28,ts'm,in,,prenoun,,0,,,,,,
91,aytk,"name, identify",,verb,,1,,,,,,
,hana'k_,woman,,noun,,2,,,,,,
